nmc_zone,esr,zone_code,supply_hrs,confidence,r,g,b,ai_answer,flag,final_supply_hrs
ASHI NAGAR,Nara ESR,SZ-14,CHECK:18-24?,manual,0.301,0.36,0.339,18-24,,18-24
ASHI NAGAR,Nara ESR,SZ-2,04-08,auto,0.267,0.341,0.392,04-08,,04-08
ASHI NAGAR,Nara ESR,SZ-12,CHECK:18-24?,manual,0.304,0.359,0.337,18-24,,18-24
ASHI NAGAR,Nara ESR,SZ-5,CHECK:02-04?,manual,0.425,0.368,0.206,02-04,,02-04
ASHI NAGAR,Nara ESR,SZ-16,04-08,auto,0.263,0.343,0.394,04-08,,04-08
ASHI NAGAR,Nara ESR,SZ-13,CHECK:18-24?,manual,0.313,0.359,0.328,18-24,,18-24
ASHI NAGAR,Nara ESR,SZ-17,04-08,auto,0.272,0.339,0.389,04-08,,04-08
ASHI NAGAR,Nara ESR,SZ-11,CHECK:18-24?,manual,0.3,0.363,0.337,18-24,,18-24
ASHI NAGAR,Nara ESR,SZ-23,CHECK:02-04?,manual,0.42,0.363,0.217,02-04,,02-04
DHANTOLI,RESHIMBAGH ESR,SZ-6,CHECK:18-24?,manual,0.368,0.444,0.188,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-4,CHECK:02-04?,manual,0.455,0.364,0.182,02-04,,02-04
DHANTOLI,RESHIMBAGH ESR,SZ-14,CHECK:18-24?,manual,0.341,0.434,0.226,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-13,CHECK:18-24?,manual,0.339,0.435,0.227,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-11,CHECK:18-24?,manual,0.373,0.443,0.184,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-7,CHECK:18-24?,manual,0.337,0.437,0.226,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-2,CHECK:02-04?,manual,0.456,0.365,0.179,02-04,,02-04
DHANTOLI,RESHIMBAGH ESR,SZ-10,CHECK:02-04?,manual,0.454,0.362,0.184,02-04,,02-04
DHANTOLI,RESHIMBAGH ESR,SZ-1,CHECK:02-04?,manual,0.472,0.36,0.168,02-04,,02-04
DHANTOLI,RESHIMBAGH ESR,SZ-3,04-08,auto,0.271,0.332,0.397,04-08,,04-08
DHANTOLI,RESHIMBAGH ESR,SZ-9,CHECK:18-24?,manual,0.337,0.476,0.187,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-8,CHECK:18-24?,manual,0.328,0.464,0.207,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-16,CHECK:18-24?,manual,0.323,0.439,0.237,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-5,04-08,auto,0.234,0.331,0.435,04-08,,04-08
DHANTOLI,RESHIMBAGH ESR,SZ-12,CHECK:18-24?,manual,0.338,0.456,0.206,18-24,,18-24
DHANTOLI,RESHIMBAGH ESR,SZ-15,CHECK:18-24?,manual,0.336,0.435,0.23,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-10,CHECK:02-04?,manual,0.426,0.364,0.211,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-11,CHECK:02-04?,manual,0.378,0.369,0.253,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-13,CHECK:02-04?,manual,0.404,0.362,0.234,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-4,CHECK:18-24?,manual,0.329,0.424,0.247,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-8,CHECK:18-24?,manual,0.343,0.407,0.25,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-14,CHECK:02-04?,manual,0.42,0.364,0.216,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-2,CHECK:18-24?,manual,0.339,0.411,0.251,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-12,CHECK:02-04?,manual,0.42,0.365,0.216,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-9,CHECK:02-04?,manual,0.422,0.365,0.213,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-5,CHECK:18-24?,manual,0.338,0.414,0.248,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-1,CHECK:18-24?,manual,0.344,0.405,0.251,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-6,CHECK:02-04?,manual,0.42,0.363,0.217,02-04,,02-04
DHANTOLI,Wanjari Nagar New ESR,SZ-3,CHECK:18-24?,manual,0.333,0.411,0.257,18-24,,18-24
DHANTOLI,Wanjari Nagar New ESR,SZ-7,CHECK:18-24?,manual,0.329,0.423,0.249,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-3,CHECK:18-24?,manual,0.349,0.419,0.232,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-20,CHECK:02-04?,manual,0.423,0.362,0.216,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-12,CHECK:18-24?,manual,0.342,0.402,0.256,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-11,CHECK:02-04?,manual,0.373,0.371,0.257,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-10,CHECK:02-04?,manual,0.419,0.36,0.221,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-5,CHECK:18-24?,manual,0.337,0.41,0.253,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-18,CHECK:02-04?,manual,0.421,0.358,0.221,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-9,CHECK:02-04?,manual,0.42,0.359,0.221,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-6,CHECK:02-04?,manual,0.436,0.36,0.204,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-17,CHECK:02-04?,manual,0.422,0.358,0.22,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-1,CHECK:18-24?,manual,0.342,0.412,0.245,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-13,CHECK:18-24?,manual,0.34,0.405,0.256,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-16,CHECK:02-04?,manual,0.421,0.362,0.217,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-7,CHECK:02-04?,manual,0.419,0.36,0.221,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-2,CHECK:02-04?,manual,0.382,0.417,0.201,18-24,,18-24
DHANTOLI,Wanjari Nagar Old ESR,SZ-15,CHECK:02-04?,manual,0.419,0.359,0.222,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-14,CHECK:02-04?,manual,0.418,0.359,0.223,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-8,CHECK:02-04?,manual,0.434,0.363,0.202,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-4,CHECK:02-04?,manual,0.378,0.367,0.255,02-04,,02-04
DHANTOLI,Wanjari Nagar Old ESR,SZ-19,CHECK:02-04?,manual,0.427,0.357,0.216,02-04,,02-04
DHARAMPETH,Dhantoli ESR,SZ-3,CHECK:02-04?,manual,0.369,0.363,0.268,02-04,,02-04
DHARAMPETH,Dhantoli ESR,SZ-2,CHECK:18-24?,manual,0.336,0.387,0.277,18-24,,18-24
DHARAMPETH,Dhantoli ESR,SZ-5,CHECK:18-24?,manual,0.341,0.397,0.262,18-24,,18-24
DHARAMPETH,Dhantoli ESR,SZ-6,CHECK:18-24?,manual,0.349,0.394,0.257,18-24,,18-24
DHARAMPETH,Dhantoli ESR,SZ-8,CHECK:02-04?,manual,0.381,0.358,0.262,02-04,,02-04
DHARAMPETH,Dhantoli ESR,SZ-1,CHECK:18-24?,manual,0.323,0.393,0.284,18-24,,18-24
DHARAMPETH,Dhantoli ESR,SZ-4,CHECK:18-24?,manual,0.355,0.395,0.249,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-51,CHECK:02-04?,manual,0.355,0.361,0.285,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-47,CHECK:02-04?,manual,0.313,0.344,0.344,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-56,CHECK:18-24?,manual,0.332,0.397,0.271,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-57,CHECK:18-24?,manual,0.337,0.391,0.272,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-58,CHECK:02-04?,manual,0.37,0.386,0.243,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-68,CHECK:18-24?,manual,0.338,0.403,0.259,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-50,CHECK:18-24?,manual,0.333,0.396,0.271,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-71,CHECK:02-04?,manual,0.368,0.394,0.238,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-61,CHECK:18-24?,manual,0.343,0.386,0.271,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-63,CHECK:18-24?,manual,0.346,0.39,0.264,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-5,CHECK:02-04?,manual,0.367,0.399,0.233,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-22,CHECK:18-24?,manual,0.336,0.4,0.264,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-15,CHECK:02-04?,manual,0.334,0.35,0.316,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-38,CHECK:18-24?,manual,0.339,0.388,0.272,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-45,CHECK:18-24?,manual,0.338,0.386,0.276,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-48,04-08,auto,0.3,0.346,0.354,04-08,,04-08
DHARAMPETH,Dharampeth Demo Zone,SZ-41,CHECK:02-04?,manual,0.401,0.353,0.246,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-10,CHECK:02-04?,manual,0.326,0.352,0.322,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-65,CHECK:18-24?,manual,0.34,0.39,0.27,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-60,CHECK:18-24?,manual,0.338,0.389,0.273,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-72,CHECK:02-04?,manual,0.349,0.387,0.264,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-69,CHECK:18-24?,manual,0.343,0.389,0.268,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-21,CHECK:18-24?,manual,0.336,0.399,0.266,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-29,CHECK:02-04?,manual,0.423,0.371,0.206,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-36,CHECK:18-24?,manual,0.333,0.391,0.277,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-35,CHECK:18-24?,manual,0.339,0.388,0.273,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-28,CHECK:02-04?,manual,0.351,0.389,0.26,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-59,CHECK:02-04?,manual,0.364,0.362,0.274,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-53,CHECK:18-24?,manual,0.337,0.386,0.277,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-17,CHECK:18-24?,manual,0.341,0.391,0.268,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-19,CHECK:02-04?,manual,0.395,0.369,0.236,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-54,CHECK:18-24?,manual,0.335,0.387,0.279,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-2,CHECK:18-24?,manual,0.364,0.406,0.23,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-24,CHECK:18-24?,manual,0.334,0.396,0.27,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-23,CHECK:18-24?,manual,0.346,0.393,0.261,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-46,CHECK:18-24?,manual,0.335,0.39,0.275,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-12,CHECK:18-24?,manual,0.332,0.453,0.215,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-33,CHECK:18-24?,manual,0.331,0.393,0.276,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-16,CHECK:02-04?,manual,0.368,0.395,0.238,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-25,CHECK:02-04?,manual,0.371,0.39,0.239,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-64,CHECK:18-24?,manual,0.344,0.398,0.258,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-66,CHECK:18-24?,manual,0.344,0.39,0.266,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-62,CHECK:18-24?,manual,0.332,0.398,0.271,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-14,CHECK:18-24?,manual,0.349,0.403,0.248,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-31,CHECK:18-24?,manual,0.338,0.387,0.275,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-18,CHECK:18-24?,manual,0.345,0.395,0.261,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-4,CHECK:18-24?,manual,0.343,0.437,0.22,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-9,CHECK:02-04?,manual,0.34,0.379,0.281,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-8,CHECK:18-24?,manual,0.352,0.402,0.247,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-39,CHECK:18-24?,manual,0.362,0.413,0.225,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-37,CHECK:18-24?,manual,0.336,0.391,0.273,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-70,CHECK:18-24?,manual,0.338,0.393,0.268,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-20,CHECK:02-04?,manual,0.396,0.362,0.243,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-52,04-08,auto,0.294,0.339,0.367,04-08,,04-08
DHARAMPETH,Dharampeth Demo Zone,SZ-30,CHECK:18-24?,manual,0.339,0.389,0.272,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-55,CHECK:18-24?,manual,0.34,0.392,0.269,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-42,CHECK:18-24?,manual,0.341,0.386,0.273,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-1,CHECK:02-04?,manual,0.372,0.399,0.229,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-67,CHECK:02-04?,manual,0.348,0.387,0.265,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-44,CHECK:18-24?,manual,0.342,0.388,0.27,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-26,CHECK:18-24?,manual,0.325,0.37,0.306,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-11,CHECK:02-04?,manual,0.333,0.347,0.32,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-27,CHECK:02-04?,manual,0.339,0.378,0.282,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-3,CHECK:02-04?,manual,0.36,0.391,0.249,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-49,CHECK:18-24?,manual,0.333,0.386,0.281,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-32,CHECK:18-24?,manual,0.342,0.389,0.269,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-6,CHECK:18-24?,manual,0.328,0.457,0.216,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-13,CHECK:18-24?,manual,0.351,0.393,0.256,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-7,CHECK:02-04?,manual,0.374,0.387,0.238,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-40,CHECK:02-04?,manual,0.374,0.362,0.264,02-04,,02-04
DHARAMPETH,Dharampeth Demo Zone,SZ-43,CHECK:18-24?,manual,0.34,0.387,0.273,18-24,,18-24
DHARAMPETH,Dharampeth Demo Zone,SZ-34,CHECK:02-04?,manual,0.357,0.392,0.252,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-8,CHECK:18-24?,manual,0.342,0.388,0.269,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-4,CHECK:18-24?,manual,0.349,0.393,0.259,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-10,CHECK:02-04?,manual,0.361,0.394,0.245,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-9,CHECK:18-24?,manual,0.341,0.387,0.272,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-5,CHECK:18-24?,manual,0.341,0.383,0.277,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-7,CHECK:18-24?,manual,0.342,0.392,0.266,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-1,CHECK:18-24?,manual,0.352,0.411,0.237,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-3,CHECK:18-24?,manual,0.336,0.387,0.277,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-2,CHECK:18-24?,manual,0.35,0.44,0.21,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-11,CHECK:02-04?,manual,0.35,0.382,0.268,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-6,CHECK:02-04?,manual,0.348,0.387,0.265,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-12,CHECK:02-04?,manual,0.355,0.39,0.255,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-14,CHECK:02-04?,manual,0.353,0.388,0.259,18-24,,18-24
DHARAMPETH,GH-BUILDI ESR,SZ-13,CHECK:18-24?,manual,0.347,0.389,0.264,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-2,CHECK:18-24?,manual,0.345,0.397,0.259,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-1,CHECK:02-04?,manual,0.372,0.358,0.27,02-04,,02-04
DHARAMPETH,Tekdiwadi ESR,SZ-3,CHECK:18-24?,manual,0.348,0.395,0.257,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-5,CHECK:02-04?,manual,0.376,0.402,0.222,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-6,CHECK:18-24?,manual,0.349,0.389,0.262,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-4,CHECK:18-24?,manual,0.344,0.398,0.258,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-7,CHECK:18-24?,manual,0.349,0.404,0.247,18-24,,18-24
DHARAMPETH,Tekdiwadi ESR,SZ-8,CHECK:02-04?,manual,0.359,0.354,0.287,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-3,CHECK:02-04?,manual,0.353,0.39,0.258,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-7,CHECK:02-04?,manual,0.349,0.386,0.264,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-10,CHECK:02-04?,manual,0.367,0.36,0.273,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-16,CHECK:02-04?,manual,0.373,0.351,0.276,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-2,CHECK:02-04?,manual,0.367,0.359,0.274,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-1,CHECK:02-04?,manual,0.365,0.359,0.276,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-14,CHECK:02-04?,manual,0.345,0.382,0.273,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-12,CHECK:02-04?,manual,0.371,0.363,0.265,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-4,CHECK:02-04?,manual,0.317,0.347,0.335,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-11,CHECK:02-04?,manual,0.4,0.353,0.247,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-13,CHECK:02-04?,manual,0.402,0.355,0.243,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-8,CHECK:02-04?,manual,0.373,0.356,0.271,02-04,,02-04
GANDHIBAGH,Killa Mahal ESR,SZ-9,CHECK:02-04?,manual,0.342,0.382,0.276,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-5,CHECK:02-04?,manual,0.353,0.383,0.264,18-24,,18-24
GANDHIBAGH,Killa Mahal ESR,SZ-6,CHECK:02-04?,manual,0.346,0.381,0.273,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-23,04-08,auto,0.275,0.351,0.374,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-9,CHECK:18-24?,manual,0.327,0.45,0.223,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-19,CHECK:02-04?,manual,0.376,0.372,0.252,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-20,CHECK:02-04?,manual,0.398,0.376,0.226,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-25,CHECK:02-04?,manual,0.384,0.374,0.242,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-17,CHECK:02-04?,manual,0.377,0.37,0.254,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-12,CHECK:02-04?,manual,0.375,0.371,0.255,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-14,CHECK:02-04?,manual,0.375,0.375,0.251,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-16,CHECK:02-04?,manual,0.377,0.372,0.251,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-3,04-08,auto,0.261,0.333,0.406,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-5,04-08,auto,0.257,0.333,0.41,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-1,CHECK:18-24?,manual,0.345,0.434,0.221,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-21,CHECK:02-04?,manual,0.376,0.371,0.253,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-24,04-08,auto,0.265,0.335,0.4,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-4,CHECK:02-04?,manual,0.373,0.375,0.253,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-18,CHECK:02-04?,manual,0.379,0.371,0.25,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-6,04-08,auto,0.248,0.335,0.417,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-22,CHECK:18-24?,manual,0.29,0.359,0.351,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-11,CHECK:02-04?,manual,0.369,0.364,0.267,02-04,,02-04
