nmc_zone,esr,zone_code,supply_hrs,confidence,r,g,b
ASHI NAGAR,Nara ESR,SZ-4,CHECK:02-04?,manual,0.434,0.371,0.195
ASHI NAGAR,Nara ESR,SZ-14,CHECK:18-24?,manual,0.301,0.36,0.339
ASHI NAGAR,Nara ESR,SZ-2,04-08,auto,0.267,0.341,0.392
ASHI NAGAR,Nara ESR,SZ-12,CHECK:18-24?,manual,0.304,0.359,0.337
ASHI NAGAR,Nara ESR,SZ-5,CHECK:02-04?,manual,0.425,0.368,0.206
ASHI NAGAR,Nara ESR,SZ-16,04-08,auto,0.263,0.343,0.394
ASHI NAGAR,Nara ESR,SZ-13,CHECK:18-24?,manual,0.313,0.359,0.328
ASHI NAGAR,Nara ESR,SZ-17,04-08,auto,0.272,0.339,0.389
ASHI NAGAR,Nara ESR,SZ-11,CHECK:18-24?,manual,0.3,0.363,0.337
ASHI NAGAR,Nara ESR,SZ-23,CHECK:02-04?,manual,0.42,0.363,0.217
DHANTOLI,RESHIMBAGH ESR,SZ-6,CHECK:18-24?,manual,0.368,0.444,0.188
DHANTOLI,RESHIMBAGH ESR,SZ-4,CHECK:02-04?,manual,0.455,0.364,0.182
DHANTOLI,RESHIMBAGH ESR,SZ-14,CHECK:18-24?,manual,0.341,0.434,0.226
DHANTOLI,RESHIMBAGH ESR,SZ-13,CHECK:18-24?,manual,0.339,0.435,0.227
DHANTOLI,RESHIMBAGH ESR,SZ-11,CHECK:18-24?,manual,0.373,0.443,0.184
DHANTOLI,RESHIMBAGH ESR,SZ-7,CHECK:18-24?,manual,0.337,0.437,0.226
DHANTOLI,RESHIMBAGH ESR,SZ-2,CHECK:02-04?,manual,0.456,0.365,0.179
DHANTOLI,RESHIMBAGH ESR,SZ-10,CHECK:02-04?,manual,0.454,0.362,0.184
DHANTOLI,RESHIMBAGH ESR,SZ-1,CHECK:02-04?,manual,0.472,0.36,0.168
DHANTOLI,RESHIMBAGH ESR,SZ-3,04-08,auto,0.271,0.332,0.397
DHANTOLI,RESHIMBAGH ESR,SZ-9,CHECK:18-24?,manual,0.337,0.476,0.187
DHANTOLI,RESHIMBAGH ESR,SZ-8,CHECK:18-24?,manual,0.328,0.464,0.207
DHANTOLI,RESHIMBAGH ESR,SZ-16,CHECK:18-24?,manual,0.323,0.439,0.237
DHANTOLI,RESHIMBAGH ESR,SZ-5,04-08,auto,0.234,0.331,0.435
DHANTOLI,RESHIMBAGH ESR,SZ-12,CHECK:18-24?,manual,0.338,0.456,0.206
DHANTOLI,RESHIMBAGH ESR,SZ-15,CHECK:18-24?,manual,0.336,0.435,0.23
DHANTOLI,Wanjari Nagar New ESR,SZ-10,CHECK:02-04?,manual,0.426,0.364,0.211
DHANTOLI,Wanjari Nagar New ESR,SZ-11,CHECK:02-04?,manual,0.378,0.369,0.253
DHANTOLI,Wanjari Nagar New ESR,SZ-13,CHECK:02-04?,manual,0.404,0.362,0.234
DHANTOLI,Wanjari Nagar New ESR,SZ-4,CHECK:18-24?,manual,0.329,0.424,0.247
DHANTOLI,Wanjari Nagar New ESR,SZ-8,CHECK:18-24?,manual,0.343,0.407,0.25
DHANTOLI,Wanjari Nagar New ESR,SZ-14,CHECK:02-04?,manual,0.42,0.364,0.216
DHANTOLI,Wanjari Nagar New ESR,SZ-2,CHECK:18-24?,manual,0.339,0.411,0.251
DHANTOLI,Wanjari Nagar New ESR,SZ-12,CHECK:02-04?,manual,0.42,0.365,0.216
DHANTOLI,Wanjari Nagar New ESR,SZ-9,CHECK:02-04?,manual,0.422,0.365,0.213
DHANTOLI,Wanjari Nagar New ESR,SZ-5,CHECK:18-24?,manual,0.338,0.414,0.248
DHANTOLI,Wanjari Nagar New ESR,SZ-1,CHECK:18-24?,manual,0.344,0.405,0.251
DHANTOLI,Wanjari Nagar New ESR,SZ-6,CHECK:02-04?,manual,0.42,0.363,0.217
DHANTOLI,Wanjari Nagar New ESR,SZ-3,CHECK:18-24?,manual,0.333,0.411,0.257
DHANTOLI,Wanjari Nagar New ESR,SZ-7,CHECK:18-24?,manual,0.329,0.423,0.249
DHANTOLI,Wanjari Nagar Old ESR,SZ-3,CHECK:18-24?,manual,0.349,0.419,0.232
DHANTOLI,Wanjari Nagar Old ESR,SZ-20,CHECK:02-04?,manual,0.423,0.362,0.216
DHANTOLI,Wanjari Nagar Old ESR,SZ-12,CHECK:18-24?,manual,0.342,0.402,0.256
DHANTOLI,Wanjari Nagar Old ESR,SZ-11,CHECK:02-04?,manual,0.373,0.371,0.257
DHANTOLI,Wanjari Nagar Old ESR,SZ-10,CHECK:02-04?,manual,0.419,0.36,0.221
DHANTOLI,Wanjari Nagar Old ESR,SZ-5,CHECK:18-24?,manual,0.337,0.41,0.253
DHANTOLI,Wanjari Nagar Old ESR,SZ-18,CHECK:02-04?,manual,0.421,0.358,0.221
DHANTOLI,Wanjari Nagar Old ESR,SZ-9,CHECK:02-04?,manual,0.42,0.359,0.221
DHANTOLI,Wanjari Nagar Old ESR,SZ-6,CHECK:02-04?,manual,0.436,0.36,0.204
DHANTOLI,Wanjari Nagar Old ESR,SZ-17,CHECK:02-04?,manual,0.422,0.358,0.22
DHANTOLI,Wanjari Nagar Old ESR,SZ-1,CHECK:18-24?,manual,0.342,0.412,0.245
DHANTOLI,Wanjari Nagar Old ESR,SZ-13,CHECK:18-24?,manual,0.34,0.405,0.256
DHANTOLI,Wanjari Nagar Old ESR,SZ-16,CHECK:02-04?,manual,0.421,0.362,0.217
DHANTOLI,Wanjari Nagar Old ESR,SZ-7,CHECK:02-04?,manual,0.419,0.36,0.221
DHANTOLI,Wanjari Nagar Old ESR,SZ-2,CHECK:02-04?,manual,0.382,0.417,0.201
DHANTOLI,Wanjari Nagar Old ESR,SZ-15,CHECK:02-04?,manual,0.419,0.359,0.222
DHANTOLI,Wanjari Nagar Old ESR,SZ-14,CHECK:02-04?,manual,0.418,0.359,0.223
DHANTOLI,Wanjari Nagar Old ESR,SZ-8,CHECK:02-04?,manual,0.434,0.363,0.202
DHANTOLI,Wanjari Nagar Old ESR,SZ-4,CHECK:02-04?,manual,0.378,0.367,0.255
DHANTOLI,Wanjari Nagar Old ESR,SZ-19,CHECK:02-04?,manual,0.427,0.357,0.216
DHARAMPETH,Dhantoli ESR,SZ-3,CHECK:02-04?,manual,0.369,0.363,0.268
DHARAMPETH,Dhantoli ESR,SZ-2,CHECK:18-24?,manual,0.336,0.387,0.277
DHARAMPETH,Dhantoli ESR,SZ-5,CHECK:18-24?,manual,0.341,0.397,0.262
DHARAMPETH,Dhantoli ESR,SZ-6,CHECK:18-24?,manual,0.349,0.394,0.257
DHARAMPETH,Dhantoli ESR,SZ-8,CHECK:02-04?,manual,0.381,0.358,0.262
DHARAMPETH,Dhantoli ESR,SZ-1,CHECK:18-24?,manual,0.323,0.393,0.284
DHARAMPETH,Dhantoli ESR,SZ-4,CHECK:18-24?,manual,0.355,0.395,0.249
DHARAMPETH,Dharampeth Demo Zone,SZ-51,CHECK:02-04?,manual,0.355,0.361,0.285
DHARAMPETH,Dharampeth Demo Zone,SZ-47,CHECK:02-04?,manual,0.313,0.344,0.344
DHARAMPETH,Dharampeth Demo Zone,SZ-56,CHECK:18-24?,manual,0.332,0.397,0.271
DHARAMPETH,Dharampeth Demo Zone,SZ-57,CHECK:18-24?,manual,0.337,0.391,0.272
DHARAMPETH,Dharampeth Demo Zone,SZ-58,CHECK:02-04?,manual,0.37,0.386,0.243
DHARAMPETH,Dharampeth Demo Zone,SZ-68,CHECK:18-24?,manual,0.338,0.403,0.259
DHARAMPETH,Dharampeth Demo Zone,SZ-50,CHECK:18-24?,manual,0.333,0.396,0.271
DHARAMPETH,Dharampeth Demo Zone,SZ-71,CHECK:02-04?,manual,0.368,0.394,0.238
DHARAMPETH,Dharampeth Demo Zone,SZ-61,CHECK:18-24?,manual,0.343,0.386,0.271
DHARAMPETH,Dharampeth Demo Zone,SZ-63,CHECK:18-24?,manual,0.346,0.39,0.264
DHARAMPETH,Dharampeth Demo Zone,SZ-5,CHECK:02-04?,manual,0.367,0.399,0.233
DHARAMPETH,Dharampeth Demo Zone,SZ-22,CHECK:18-24?,manual,0.336,0.4,0.264
DHARAMPETH,Dharampeth Demo Zone,SZ-15,CHECK:02-04?,manual,0.334,0.35,0.316
DHARAMPETH,Dharampeth Demo Zone,SZ-38,CHECK:18-24?,manual,0.339,0.388,0.272
DHARAMPETH,Dharampeth Demo Zone,SZ-45,CHECK:18-24?,manual,0.338,0.386,0.276
DHARAMPETH,Dharampeth Demo Zone,SZ-48,04-08,auto,0.3,0.346,0.354
DHARAMPETH,Dharampeth Demo Zone,SZ-41,CHECK:02-04?,manual,0.401,0.353,0.246
DHARAMPETH,Dharampeth Demo Zone,SZ-10,CHECK:02-04?,manual,0.326,0.352,0.322
DHARAMPETH,Dharampeth Demo Zone,SZ-65,CHECK:18-24?,manual,0.34,0.39,0.27
DHARAMPETH,Dharampeth Demo Zone,SZ-60,CHECK:18-24?,manual,0.338,0.389,0.273
DHARAMPETH,Dharampeth Demo Zone,SZ-72,CHECK:02-04?,manual,0.349,0.387,0.264
DHARAMPETH,Dharampeth Demo Zone,SZ-69,CHECK:18-24?,manual,0.343,0.389,0.268
DHARAMPETH,Dharampeth Demo Zone,SZ-21,CHECK:18-24?,manual,0.336,0.399,0.266
DHARAMPETH,Dharampeth Demo Zone,SZ-29,CHECK:02-04?,manual,0.423,0.371,0.206
DHARAMPETH,Dharampeth Demo Zone,SZ-36,CHECK:18-24?,manual,0.333,0.391,0.277
DHARAMPETH,Dharampeth Demo Zone,SZ-35,CHECK:18-24?,manual,0.339,0.388,0.273
DHARAMPETH,Dharampeth Demo Zone,SZ-28,CHECK:02-04?,manual,0.351,0.389,0.26
DHARAMPETH,Dharampeth Demo Zone,SZ-59,CHECK:02-04?,manual,0.364,0.362,0.274
DHARAMPETH,Dharampeth Demo Zone,SZ-53,CHECK:18-24?,manual,0.337,0.386,0.277
DHARAMPETH,Dharampeth Demo Zone,SZ-17,CHECK:18-24?,manual,0.341,0.391,0.268
DHARAMPETH,Dharampeth Demo Zone,SZ-19,CHECK:02-04?,manual,0.395,0.369,0.236
DHARAMPETH,Dharampeth Demo Zone,SZ-54,CHECK:18-24?,manual,0.335,0.387,0.279
DHARAMPETH,Dharampeth Demo Zone,SZ-2,CHECK:18-24?,manual,0.364,0.406,0.23
DHARAMPETH,Dharampeth Demo Zone,SZ-24,CHECK:18-24?,manual,0.334,0.396,0.27
DHARAMPETH,Dharampeth Demo Zone,SZ-23,CHECK:18-24?,manual,0.346,0.393,0.261
DHARAMPETH,Dharampeth Demo Zone,SZ-46,CHECK:18-24?,manual,0.335,0.39,0.275
DHARAMPETH,Dharampeth Demo Zone,SZ-12,CHECK:18-24?,manual,0.332,0.453,0.215
DHARAMPETH,Dharampeth Demo Zone,SZ-33,CHECK:18-24?,manual,0.331,0.393,0.276
DHARAMPETH,Dharampeth Demo Zone,SZ-16,CHECK:02-04?,manual,0.368,0.395,0.238
DHARAMPETH,Dharampeth Demo Zone,SZ-25,CHECK:02-04?,manual,0.371,0.39,0.239
DHARAMPETH,Dharampeth Demo Zone,SZ-64,CHECK:18-24?,manual,0.344,0.398,0.258
DHARAMPETH,Dharampeth Demo Zone,SZ-66,CHECK:18-24?,manual,0.344,0.39,0.266
DHARAMPETH,Dharampeth Demo Zone,SZ-62,CHECK:18-24?,manual,0.332,0.398,0.271
DHARAMPETH,Dharampeth Demo Zone,SZ-14,CHECK:18-24?,manual,0.349,0.403,0.248
DHARAMPETH,Dharampeth Demo Zone,SZ-31,CHECK:18-24?,manual,0.338,0.387,0.275
DHARAMPETH,Dharampeth Demo Zone,SZ-18,CHECK:18-24?,manual,0.345,0.395,0.261
DHARAMPETH,Dharampeth Demo Zone,SZ-4,CHECK:18-24?,manual,0.343,0.437,0.22
DHARAMPETH,Dharampeth Demo Zone,SZ-9,CHECK:02-04?,manual,0.34,0.379,0.281
DHARAMPETH,Dharampeth Demo Zone,SZ-8,CHECK:18-24?,manual,0.352,0.402,0.247
DHARAMPETH,Dharampeth Demo Zone,SZ-39,CHECK:18-24?,manual,0.362,0.413,0.225
DHARAMPETH,Dharampeth Demo Zone,SZ-37,CHECK:18-24?,manual,0.336,0.391,0.273
DHARAMPETH,Dharampeth Demo Zone,SZ-70,CHECK:18-24?,manual,0.338,0.393,0.268
DHARAMPETH,Dharampeth Demo Zone,SZ-20,CHECK:02-04?,manual,0.396,0.362,0.243
DHARAMPETH,Dharampeth Demo Zone,SZ-52,04-08,auto,0.294,0.339,0.367
DHARAMPETH,Dharampeth Demo Zone,SZ-30,CHECK:18-24?,manual,0.339,0.389,0.272
DHARAMPETH,Dharampeth Demo Zone,SZ-55,CHECK:18-24?,manual,0.34,0.392,0.269
DHARAMPETH,Dharampeth Demo Zone,SZ-42,CHECK:18-24?,manual,0.341,0.386,0.273
DHARAMPETH,Dharampeth Demo Zone,SZ-1,CHECK:02-04?,manual,0.372,0.399,0.229
DHARAMPETH,Dharampeth Demo Zone,SZ-67,CHECK:02-04?,manual,0.348,0.387,0.265
DHARAMPETH,Dharampeth Demo Zone,SZ-44,CHECK:18-24?,manual,0.342,0.388,0.27
DHARAMPETH,Dharampeth Demo Zone,SZ-26,CHECK:18-24?,manual,0.325,0.37,0.306
DHARAMPETH,Dharampeth Demo Zone,SZ-11,CHECK:02-04?,manual,0.333,0.347,0.32
DHARAMPETH,Dharampeth Demo Zone,SZ-27,CHECK:02-04?,manual,0.339,0.378,0.282
DHARAMPETH,Dharampeth Demo Zone,SZ-3,CHECK:02-04?,manual,0.36,0.391,0.249
DHARAMPETH,Dharampeth Demo Zone,SZ-49,CHECK:18-24?,manual,0.333,0.386,0.281
DHARAMPETH,Dharampeth Demo Zone,SZ-32,CHECK:18-24?,manual,0.342,0.389,0.269
DHARAMPETH,Dharampeth Demo Zone,SZ-6,CHECK:18-24?,manual,0.328,0.457,0.216
DHARAMPETH,Dharampeth Demo Zone,SZ-13,CHECK:18-24?,manual,0.351,0.393,0.256
DHARAMPETH,Dharampeth Demo Zone,SZ-7,CHECK:02-04?,manual,0.374,0.387,0.238
DHARAMPETH,Dharampeth Demo Zone,SZ-40,CHECK:02-04?,manual,0.374,0.362,0.264
DHARAMPETH,Dharampeth Demo Zone,SZ-43,CHECK:18-24?,manual,0.34,0.387,0.273
DHARAMPETH,Dharampeth Demo Zone,SZ-34,CHECK:02-04?,manual,0.357,0.392,0.252
DHARAMPETH,GH-BUILDI ESR,SZ-8,CHECK:18-24?,manual,0.342,0.388,0.269
DHARAMPETH,GH-BUILDI ESR,SZ-4,CHECK:18-24?,manual,0.349,0.393,0.259
DHARAMPETH,GH-BUILDI ESR,SZ-10,CHECK:02-04?,manual,0.361,0.394,0.245
DHARAMPETH,GH-BUILDI ESR,SZ-9,CHECK:18-24?,manual,0.341,0.387,0.272
DHARAMPETH,GH-BUILDI ESR,SZ-5,CHECK:18-24?,manual,0.341,0.383,0.277
DHARAMPETH,GH-BUILDI ESR,SZ-7,CHECK:18-24?,manual,0.342,0.392,0.266
DHARAMPETH,GH-BUILDI ESR,SZ-1,CHECK:18-24?,manual,0.352,0.411,0.237
DHARAMPETH,GH-BUILDI ESR,SZ-3,CHECK:18-24?,manual,0.336,0.387,0.277
DHARAMPETH,GH-BUILDI ESR,SZ-2,CHECK:18-24?,manual,0.35,0.44,0.21
DHARAMPETH,GH-BUILDI ESR,SZ-11,CHECK:02-04?,manual,0.35,0.382,0.268
DHARAMPETH,GH-BUILDI ESR,SZ-6,CHECK:02-04?,manual,0.348,0.387,0.265
DHARAMPETH,GH-BUILDI ESR,SZ-12,CHECK:02-04?,manual,0.355,0.39,0.255
DHARAMPETH,GH-BUILDI ESR,SZ-14,CHECK:02-04?,manual,0.353,0.388,0.259
DHARAMPETH,GH-BUILDI ESR,SZ-13,CHECK:18-24?,manual,0.347,0.389,0.264
DHARAMPETH,Tekdiwadi ESR,SZ-2,CHECK:18-24?,manual,0.345,0.397,0.259
DHARAMPETH,Tekdiwadi ESR,SZ-1,CHECK:02-04?,manual,0.372,0.358,0.27
DHARAMPETH,Tekdiwadi ESR,SZ-3,CHECK:18-24?,manual,0.348,0.395,0.257
DHARAMPETH,Tekdiwadi ESR,SZ-5,CHECK:02-04?,manual,0.376,0.402,0.222
DHARAMPETH,Tekdiwadi ESR,SZ-6,CHECK:18-24?,manual,0.349,0.389,0.262
DHARAMPETH,Tekdiwadi ESR,SZ-4,CHECK:18-24?,manual,0.344,0.398,0.258
DHARAMPETH,Tekdiwadi ESR,SZ-7,CHECK:18-24?,manual,0.349,0.404,0.247
DHARAMPETH,Tekdiwadi ESR,SZ-8,CHECK:02-04?,manual,0.359,0.354,0.287
GANDHIBAGH,Killa Mahal ESR,SZ-3,CHECK:02-04?,manual,0.353,0.39,0.258
GANDHIBAGH,Killa Mahal ESR,SZ-7,CHECK:02-04?,manual,0.349,0.386,0.264
GANDHIBAGH,Killa Mahal ESR,SZ-10,CHECK:02-04?,manual,0.367,0.36,0.273
GANDHIBAGH,Killa Mahal ESR,SZ-16,CHECK:02-04?,manual,0.373,0.351,0.276
GANDHIBAGH,Killa Mahal ESR,SZ-2,CHECK:02-04?,manual,0.367,0.359,0.274
GANDHIBAGH,Killa Mahal ESR,SZ-1,CHECK:02-04?,manual,0.365,0.359,0.276
GANDHIBAGH,Killa Mahal ESR,SZ-14,CHECK:02-04?,manual,0.345,0.382,0.273
GANDHIBAGH,Killa Mahal ESR,SZ-12,CHECK:02-04?,manual,0.371,0.363,0.265
GANDHIBAGH,Killa Mahal ESR,SZ-4,CHECK:02-04?,manual,0.317,0.347,0.335
GANDHIBAGH,Killa Mahal ESR,SZ-11,CHECK:02-04?,manual,0.4,0.353,0.247
GANDHIBAGH,Killa Mahal ESR,SZ-13,CHECK:02-04?,manual,0.402,0.355,0.243
GANDHIBAGH,Killa Mahal ESR,SZ-8,CHECK:02-04?,manual,0.373,0.356,0.271
GANDHIBAGH,Killa Mahal ESR,SZ-9,CHECK:02-04?,manual,0.342,0.382,0.276
GANDHIBAGH,Killa Mahal ESR,SZ-5,CHECK:02-04?,manual,0.353,0.383,0.264
GANDHIBAGH,Killa Mahal ESR,SZ-6,CHECK:02-04?,manual,0.346,0.381,0.273
GANDHIBAGH,Sitaburdi Fort II,SZ-23,04-08,auto,0.275,0.351,0.374
GANDHIBAGH,Sitaburdi Fort II,SZ-9,CHECK:18-24?,manual,0.327,0.45,0.223
GANDHIBAGH,Sitaburdi Fort II,SZ-19,CHECK:02-04?,manual,0.376,0.372,0.252
GANDHIBAGH,Sitaburdi Fort II,SZ-20,CHECK:02-04?,manual,0.398,0.376,0.226
GANDHIBAGH,Sitaburdi Fort II,SZ-25,CHECK:02-04?,manual,0.384,0.374,0.242
GANDHIBAGH,Sitaburdi Fort II,SZ-17,CHECK:02-04?,manual,0.377,0.37,0.254
GANDHIBAGH,Sitaburdi Fort II,SZ-12,CHECK:02-04?,manual,0.375,0.371,0.255
GANDHIBAGH,Sitaburdi Fort II,SZ-14,CHECK:02-04?,manual,0.375,0.375,0.251
GANDHIBAGH,Sitaburdi Fort II,SZ-16,CHECK:02-04?,manual,0.377,0.372,0.251
GANDHIBAGH,Sitaburdi Fort II,SZ-3,04-08,auto,0.261,0.333,0.406
GANDHIBAGH,Sitaburdi Fort II,SZ-5,04-08,auto,0.257,0.333,0.41
GANDHIBAGH,Sitaburdi Fort II,SZ-1,CHECK:18-24?,manual,0.345,0.434,0.221
GANDHIBAGH,Sitaburdi Fort II,SZ-21,CHECK:02-04?,manual,0.376,0.371,0.253
GANDHIBAGH,Sitaburdi Fort II,SZ-24,04-08,auto,0.265,0.335,0.4
GANDHIBAGH,Sitaburdi Fort II,SZ-4,CHECK:02-04?,manual,0.373,0.375,0.253
GANDHIBAGH,Sitaburdi Fort II,SZ-18,CHECK:02-04?,manual,0.379,0.371,0.25
GANDHIBAGH,Sitaburdi Fort II,SZ-6,04-08,auto,0.248,0.335,0.417
GANDHIBAGH,Sitaburdi Fort II,SZ-22,CHECK:18-24?,manual,0.29,0.359,0.351
GANDHIBAGH,Sitaburdi Fort II,SZ-11,CHECK:02-04?,manual,0.369,0.364,0.267
GANDHIBAGH,Sitaburdi Fort II,SZ-25,CHECK:18-24?,manual,0.352,0.426,0.222
GANDHIBAGH,Sitaburdi Fort II,SZ-10,CHECK:02-04?,manual,0.377,0.371,0.252
GANDHIBAGH,Sitaburdi Fort II,SZ-8,04-08,auto,0.262,0.335,0.403
GANDHIBAGH,Sitaburdi Fort II,SZ-13,CHECK:02-04?,manual,0.418,0.362,0.22
GANDHIBAGH,Sitaburdi Fort II,SZ-2,04-08,auto,0.25,0.333,0.417
GANDHIBAGH,Sitaburdi Fort II,SZ-7,CHECK:02-04?,manual,0.367,0.371,0.262
GANDHIBAGH,Sitaburdi Fort II,SZ-15,CHECK:02-04?,manual,0.375,0.371,0.253
GANDHIBAGH,Sitaburdi Fort I,SZ-9,CHECK:02-04?,manual,0.373,0.363,0.263
GANDHIBAGH,Sitaburdi Fort I,SZ-2,CHECK:02-04?,manual,0.37,0.366,0.264
GANDHIBAGH,Sitaburdi Fort I,SZ-4,CHECK:02-04?,manual,0.363,0.366,0.271
GANDHIBAGH,Sitaburdi Fort I,SZ-17,CHECK:02-04?,manual,0.436,0.36,0.204
GANDHIBAGH,Sitaburdi Fort I,SZ-16,CHECK:02-04?,manual,0.373,0.362,0.264
GANDHIBAGH,Sitaburdi Fort I,SZ-6,CHECK:02-04?,manual,0.375,0.364,0.26
GANDHIBAGH,Sitaburdi Fort I,SZ-3,CHECK:02-04?,manual,0.374,0.367,0.259
GANDHIBAGH,Sitaburdi Fort I,SZ-10,CHECK:02-04?,manual,0.376,0.367,0.258
GANDHIBAGH,Sitaburdi Fort I,SZ-13,CHECK:02-04?,manual,0.376,0.365,0.259
GANDHIBAGH,Sitaburdi Fort I,SZ-14,CHECK:18-24?,manual,0.339,0.408,0.253
GANDHIBAGH,Sitaburdi Fort I,SZ-11,CHECK:02-04?,manual,0.378,0.367,0.255
GANDHIBAGH,Sitaburdi Fort I,SZ-8,CHECK:02-04?,manual,0.392,0.37,0.239
GANDHIBAGH,Sitaburdi Fort I,SZ-7,CHECK:02-04?,manual,0.376,0.365,0.259
GANDHIBAGH,Sitaburdi Fort I,SZ-1,CHECK:02-04?,manual,0.373,0.368,0.259
GANDHIBAGH,Sitaburdi Fort I,SZ-12,CHECK:02-04?,manual,0.38,0.365,0.255
GANDHIBAGH,Sitaburdi Fort I,SZ-15,04-08,auto,0.275,0.334,0.391
GANDHIBAGH,Sitaburdi Fort I,SZ-5,CHECK:02-04?,manual,0.375,0.366,0.259
HANUMAN NAGAR,Chichbhuvan ESR,SZ-13,CHECK:02-04?,manual,0.372,0.399,0.229
HANUMAN NAGAR,Chichbhuvan ESR,SZ-14,CHECK:18-24?,manual,0.344,0.393,0.263
HANUMAN NAGAR,Chichbhuvan ESR,SZ-6,CHECK:18-24?,manual,0.362,0.415,0.223
HANUMAN NAGAR,Chichbhuvan ESR,SZ-5,CHECK:18-24?,manual,0.35,0.398,0.253
HANUMAN NAGAR,Chichbhuvan ESR,SZ-10,CHECK:18-24?,manual,0.348,0.394,0.259
HANUMAN NAGAR,Chichbhuvan ESR,SZ-22,CHECK:18-24?,manual,0.343,0.39,0.268
HANUMAN NAGAR,Chichbhuvan ESR,SZ-19,CHECK:18-24?,manual,0.349,0.39,0.261
HANUMAN NAGAR,Chichbhuvan ESR,SZ-16,CHECK:18-24?,manual,0.344,0.39,0.265
HANUMAN NAGAR,Chichbhuvan ESR,SZ-20,CHECK:18-24?,manual,0.345,0.392,0.263
HANUMAN NAGAR,Chichbhuvan ESR,SZ-2,CHECK:18-24?,manual,0.341,0.4,0.259
HANUMAN NAGAR,Chichbhuvan ESR,SZ-18,CHECK:18-24?,manual,0.343,0.392,0.265
HANUMAN NAGAR,Chichbhuvan ESR,SZ-8,CHECK:18-24?,manual,0.337,0.398,0.265
HANUMAN NAGAR,Chichbhuvan ESR,SZ-1,CHECK:18-24?,manual,0.356,0.406,0.239
HANUMAN NAGAR,Chichbhuvan ESR,SZ-4,CHECK:02-04?,manual,0.372,0.391,0.236
HANUMAN NAGAR,Chichbhuvan ESR,SZ-17,CHECK:18-24?,manual,0.346,0.393,0.261
HANUMAN NAGAR,Chichbhuvan ESR,SZ-23,CHECK:18-24?,manual,0.351,0.42,0.229
