sample_no,taluka,site_name,latitude,longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,F,SAR,RSC
29,Nagpur,Bori,20.9194,79.0111,8,2040,1332,710,222.0,37.7,143,7.8,121,425,230,37,,2.33,-12.22
30,Nagpur,Gowari,21.2697,78.9478,7.9,1085,709,340,122.0,8.5,92,3.9,46,248,72,37,,2.17,-6.04
31,UMRED,Umrer,20.8500,79.3333,7.9,2212,1171,637.5,139.0,69.3,181.8,10.22,862.4,130.3,182,2,0.92,3.14,1.49
32,PARSEONI,Ramtek,21.4000,79.3000,7.7,1407,746,387.6,87.9,40.1,102.23,10,469.9,117.9,51,44,0.95,2.27,0.01
33,NARKHED,Narkhed,21.4667,78.5333,7.4,1417,750,351.9,73.6,40.1,109,1.99,487.7,85.6,43,44,0.55,2.54,1.02
34,HINGNA,Gumgaon,20.9917,79.0333,7.9,758,402,285.6,83.8,18.2,38,8.79,398.5,11.2,12,9,0.73,0.98,0.84
35,RAMTEK,Deolapar,21.5833,79.3667,7.7,613,325,204,47.0,20.7,41,5.67,345.0,13.6,11,0,1.36,1.25,1.60
36,UMRED,Panchgaon,21.0333,79.1667,8,584,310,229.5,63.4,17.0,17,1,249.8,13.6,41,28,1.21,0.49,-0.47
37,Kalmeshwa r,Wardhamna,21.1417,78.9333,7.6,1587,841,459,83.8,59.5,61,6.13,475.8,170.0,23,4,0.51,1.24,-1.29
38,KALAMESH WAR,Kalmeshwar,21.2333,78.9167,7.7,685,363,260.1,40.9,37.7,25,4.66,178.4,80.6,35,3,0.46,0.68,-2.22
39,RAMTEK,Chorbaoli,21.4667,79.3167,8,1134,566,255,51.1,30.4,133,2.13,487.7,73.2,20,0,0.84,3.64,2.94
40,PARSEONI,Parseoni,21.5500,79.1667,7.5,696,369,214.2,42.9,25.5,33,33.16,309.3,26.1,19,11,0.12,0.98,0.82
41,PARSEONI,Nagalwadi,21.5667,79.0167,7.7,781,414,229.5,47.0,26.7,51,7.07,327.1,28.5,18,15,0.65,1.47,0.81
42,RAMTEK,Sivani,21.4000,79.4708,7.9,790,418,234.6,42.9,30.4,69,1.41,374.7,33.5,23,14,1.23,1.97,1.50
43,Umrer,Uti,20.9500,79.2167,7.8,967,512,311.1,61.3,37.7,51,3.25,410.4,38.5,35,34,0.77,1.26,0.56
44,MOUDA,Chacher,21.2833,79.3417,7.7,792,420,234.6,53.1,24.3,65,1.81,315.2,45.9,64,4,1.31,1.85A-35,0.51
45,RAMTEK,Manegaon,21.6806,79.4222,7.6,1459,773,433.5,83.8,53.5,42,5.56,463.9,95.5,7,46,0.83,0.88,-0.99
46,SAVNER,Kelod,21.4597,78.8764,7.7,1236,655,311.1,65.4,35.2,128,4.52,428.2,75.7,55,42,1.34,3.17,0.85
47,HINGNA,Sathnaori,21.1333,78.8000,7.8,1015,539,244.8,65.4,19.4,60,43.87,345.0,50.9,41,42,0.63,1.67,0.78
48,PARSEONI,Nayakund,21.3667,79.1833,7.8,773,409,239.7,45.0,30.4,50,6.06,309.3,36.0,22,33,0.92,1.41,0.32
49,SAVNER,Khubala,21.4500,78.9667,7.6,728,386,234.6,42.9,30.4,41,14.06,321.2,23.6,21,21,0.91,1.17,0.62
50,PARSEONI,Wagholi,21.3333,79.2167,7.7,666,353,214.2,40.9,26.7,52,4.6,315.2,23.6,14,15,0.96,1.55,0.92
51,RAMTEK,Sirpur,21.3667,79.4000,7.3,502,266,198.9,34.7,26.7,23,4.07,226.0,16.1,21,24,0.28,0.71,-0.23
52,MOUDA,Khat,21.2417,79.5458,7.9,861,456,249.9,47.0,31.6,56,2.04,368.7,48.4,32,7,2.22,1.55,1.09
53,NAGPUR (RURAL),Borkhedi,20.8833,78.9750,7.6,826,438,239.7,49.1,27.9,54,3.93,386.6,26.1,18,9,0.55,1.52,1.58
54,KATOL,Chargaon (Punarwasi),21.2667,78.7583,7.7,858,454,285.6,45.0,41.3,56,1.22,356.9,31.0,28,39,0.54,1.45,0.20
55,NAGPUR (RURAL),Nagpur_Ramdasp eth,21.1306,79.0639,7.9,693,367,198.9,42.9,21.9,55,1.39,303.3,40.9,16,4,2.49,1.70,1.03
56,Narkhed,Lohara,21.2658,78.4083,7.3,647,342,229.5,65.4,15.8,43,1.6,291.4,36.0,33,8,0.22,1.24,0.21
57,BHIWAPUR,Nawegaon (Deshmukh),20.8028,79.4286,7.7,564,299,163.2,38.8,15.8,41,7.56,291.4,16.1,21,1,1.12,1.40,1.54
58,SAVNER,Kothulna,21.4194,79.0383,7.7,2329,1233,647.7,110.4,88.7,125,6.73,713.7,232.0,71,45,1.26,2.15,-1.12
59,Hingana,Kanholi,20.9333,78.8500,7.5,688,365,234.6,63.4,18.2,33,4.04,309.3,43.4,22,4,0.41,0.94,0.40
60,UMRED,Makardhokda,20.8667,79.2194,7.9,727,384,295.8,59.3,35.2,28,0.66,327.1,28.5,30,10,0.64,0.71,-0.50
61,HINGNA,Amgaon,20.9944,78.9250,7.4,564,299,188.7,42.9,19.4,26,1.14,243.8,31.0,22,1,0.38,0.83,0.25
62,NARKHED,Sawargaon,21.3917,78.6350,7.5,824,436,285.6,47.0,40.1,24,3,321.2,48.4,21,13,0.34,0.62,-0.39
63,Nagpur (Rural),Mohpa,21.1417,78.7625,7.8,877,465,290.7,49.1,40.1,48,1.94,345.0,36.0,28,30,1.25,1.23A-36,-0.10
64,KALAMESH WAR,Dhapewada,21.3028,78.9139,7.5,1362,722,504.9,106.3,57.1,78,1.04,463.9,122.8,41,44,0.44,1.52,-2.41
65,KAMPTEE,Koradi,21.2528,79.0800,7.5,476,252,147.9,38.8,12.2,40,4.78,166.5,45.9,24,7,0.63,1.43,-0.21
66,NAGPUR (RURAL),Nagpur_Hanuma n nagar,21.1264,79.1056,7.5,1039,549,362.1,40.9,62.0,53,2.18,428.2,58.3,37,6,1.67,1.22,-0.12
67,SAVNER,Saoner-1,21.3897,78.9406,7.9,1304,691,418.2,63.4,62.0,62,0.73,487.7,73.2,38,44,0.51,1.33,-0.27
68,KATOL,Nandora,21.1706,78.6111,7.8,397,210,137.7,26.6,17.0,28,2.66,148.7,13.6,64,4,0.45,1.04,-0.29
69,HINGNA,Takalghat,20.9144,78.9439,7.6,2209,1170,627.3,126.7,74.1,109,88.05,927.8,155.1,59,47,0.58,1.90,2.77
70,SAVNER,Bhasali,21.3533,78.9906,7.8,1507,798,387.6,85.9,41.3,162,3.38,606.6,103.0,52,46,0.31,3.59,2.25
71,UMRED,Pipaldol,20.8331,79.2656,8,915,484,321.3,47.0,48.6,43,6.34,350.9,68.2,66,5,0.29,1.05,-0.60
72,Bhiwapur,Bhiwapur,20.7664,79.5164,7.6,944,500,260.1,59.3,26.7,79,8.39,315.2,98.0,76,15,1.02,2.14,0.00
73,RAMTEK,Kharpada,21.5308,79.3475,7.5,1345,760,367.2,83.8,37.7,53,9.18,315.2,95.5,82,46,0.25,1.21,-2.12
74,NARKHED,Malapur,21.4322,78.6594,7.7,767,406,270.3,42.9,38.9,29,1.36,71.4,145.2,40,42,0.49,0.77,-4.18
75,NAGPUR (RURAL),Gonkhedi,21.1364,78.9008,7.7,724,384,214.2,42.9,25.5,55,1.58,315.2,28.5,50,12,1.05,1.64,0.92
76,KATOL,Ridhora,21.2322,78.6206,7.6,638,338,198.9,40.9,23.1,33,2.15,285.5,21.1,20,17,0.54,1.02,0.74
77,NAGPUR (RURAL),Nagpur_Wadi naka,21.1522,79.0178,7.6,912,483,316.2,47.0,47.4,53,2.14,309.3,68.2,56,22,0.33,1.30,-1.18
78,NAGPUR (RURAL),Nagpur_Chinchb hawan,21.0661,79.0611,7.5,1542,818,351.9,83.8,34.0,158,11.11,493.6,120.4,87,44,0.69,3.67,1.10
79,NAGPUR (RURAL),Nagpur_Punapur,21.1608,79.1692,7.5,990,524,275.4,63.4,27.9,82,11.41,208.2,140.2,78,2,0.19,2.16,-2.06
80,Nagpur (Rural),Nagpur_Koradi naka,21.2086,79.0772,7.8,1591,844,346.8,85.9,31.6,165,9.83,493.6,189.8,14,8,0.54,3.86,1.20
81,NAGPUR (RURAL),Nagpur_Police line takli,21.1764,79.0653,7.6,454,240,204,38.8,25.5,17,0.84,107.1,21.1,130,2,0.81,0.52,-2.29
82,KUHI,Kuhi-1,21.0150,79.3603,7.9,780,413,163.2,18.4,27.9,62,2.23,321.2,18.6,19,14,0.7,2.12A-37,2.05
83,MOUDA,Tarsha,21.2258,79.3811,7.5,2490,1318,821.1,177.8,89.9,143,58.65,731.5,219.6,178,36,0.51,2.18,-4.30
84,HINGNA,Mohgaon,21.0683,78.8875,7.5,749,397,219.3,47.0,24.3,32,0.91,249.8,23.6,35,41,0.68,0.94,-0.26
85,SAVNER,Patansaongi-2,21.3353,79.0167,8,560,297,209.1,65.4,10.9,34,1.59,309.3,13.6,8,14,0.45,1.02,0.90
86,KALAMESH WAR,Lohgad,21.3422,78.7231,7.5,908,480,321.3,47.0,48.6,36,2.99,291.4,45.9,42,47,0.27,0.88,-1.57
87,UMRED,Singori,20.7453,79.0697,7.7,557,295,209.1,42.9,24.3,43,1.09,243.8,23.6,29,27,0.44,1.30,-0.15
88,Kalmeshwa r,Tondakhairi,21.2692,78.9525,7.7,825,436,300.9,47.0,43.7,39,15.51,380.6,36.0,19,37,0.74,0.98,0.29
89,Katol,Metpanjara,21.2658,78.7128,7.7,1391,737,469.2,124.7,37.7,39,6.32,368.7,112.9,87,30,0.48,0.78,-3.29
90,Kalmeshwa r,Sillori,21.3022,78.9731,7.7,2343,1241,877.2,249.4,60.8,106,114.2,921.9,187.4,126,46,0.24,1.56,-2.36
91,Kalmeshwa r,Khapri,21.2353,78.8350,7.8,953,505,367.2,45.0,60.8,26,1.1,368.7,48.4,36,45,0.75,0.59,-1.20
92,Kalmeshwa r,Linga,21.2028,78.8214,7.7,1476,782,418.2,47.0,71.7,63,63.78,529.3,85.6,75,46,0.54,1.35,0.43
93,Kalmeshwa r,Kohli,21.2522,78.8161,7.7,908,482,367.2,65.4,48.6,29,1.64,380.6,40.9,42,41,1.03,0.66,-1.03
94,Katol,Wasboli,21.2189,78.7022,7.7,1141,569,326.4,42.9,52.3,40,12.84,386.6,53.4,41,44,0.62,0.97,-0.11
95,Kalmeshwa r,Ramgiri,21.3019,78.7514,7.2,522,276,163.2,45.0,12.2,45,1.79,273.6,16.1,14,9,0.6,1.54,1.24
96,Nagpur (Rural),Khairgaon,21.1858,78.9567,7.3,1333,706,453.9,92.0,53.5,33,1.8,428.2,78.2,66,47,0.25,0.68,-1.98
97,Nagpur (Rural),Satgaon,20.9297,79.0036,7.7,1012,536,214.2,42.9,25.5,72,0.77,243.8,83.1,62,25,1.02,2.15,-0.25
98,KALAMESH WAR,Ashti,21.2019,78.9683,7.8,782,414,300.9,65.4,32.8,37,1.23,374.7,18.6,26,41,0.76,0.93,0.17
99,NARKHED,Mohad,21.4686,78.4458,7.7,2076,1100,622.2,139.0,65.6,130,3.06,463.9,294.1,68,16,0.26,2.27,-4.74
100,MOUDA,Mouda-1,21.1472,79.4003,7.6,2288,1212,275.4,40.9,41.3,286,10.67,624.5,204.7,154,46,0.5,7.54,4.79
101,HINGNA,Hingna (Dhangarpura),21.0739,78.9578,7.6,664,352,249.9,24.5,45.0,33,1.55,321.2,21.1,23,23,0.32,0.91A-38,0.34
102,Ramtek,Karwahi,21.6689,79.4500,8,1703,1107,438.2,145.7,71.1,170.87,2.51,385.5,215.9,99,31,,2.90,-6.82
103,Ramtek,Pathrai,21.5306,79.3000,7.8,638,415,239,73.9,40.1,38.4,2,263.5,25.7,50,10,,0.89,-2.68
104,Ramtek,Kamthi,21.6067,79.3722,7.8,474,308,229.1,77.8,36.8,19.96,2.01,253.8,12.9,12,16,,0.47,-2.76
105,Ramtek,Lakhapur,21.5603,79.4311,7.6,335,218,109.6,31.9,18.9,33.46,1.6,107.4,28.3,35,8,,1.16,-1.39
106,Ramtek,Murda,21.4589,79.4164,7.4,1251,813,448.2,129.7,77.4,65.01,0.65,170.8,267.3,11,31,,1.11,-10.05
107,Ramtek,Gugaldoh/ Ghogra,21.4217,79.4322,7.6,1590,1034,517.9,167.7,85.1,85.22,0.96,322.1,210.8,109,31,,1.34,-10.11
108,Kamthi,Asoli,21.1414,79.2042,7.9,1290,839,219.1,77.8,34.3,165.19,0.28,361.1,138.8,33,10,,3.92,-0.79
109,Kamthi,Gumthala,21.1375,79.2836,7.7,687,447,288.8,93.8,47.4,34.05,0.85,185.4,79.7,53,31,,0.71,-5.55
110,Kamthi,Palsad,21.1147,79.2717,7.6,908,590,303.8,101.8,49.1,61.81,2.07,161,79.7,139,39,,1.26,-6.49
111,Kamthi,Chikli,21.0867,79.3031,8,553,359,164.3,49.9,27.8,61.71,1.83,190.3,43.7,36,16,,1.74,-1.66
112,Kamthi,Badoda/,21.1339,79.3192,7.8,473,307,204.2,61.9,34.6,14.34,11.5,195.2,18,32,11,,0.36,-2.74
113,Mauda,Vanjara,21.1172,79.4189,7.8,619,402,254,79.8,42.3,36.3,1.82,253.8,18,49,29,,0.82,-3.31
114,Mauda,Chirvha,21.1278,79.4511,8,900,585,234.1,81.8,37.0,102.06,4.16,292.8,79.7,43,15,,2.35,-2.33
115,Mauda,Marodi,21.1564,79.4500,7.9,777,505,219.1,65.9,37.2,38.43,2.87,302.6,43.7,15,18,,0.94,-1.40
116,Mauda,Dhanala,21.1858,79.4686,7.6,2240,1456,976.1,305.4,163.0,51.2,0.84,117.1,601.4,145,41,,0.59,-26.76
117,Mauda,Govri,21.1214,79.5056,7.9,1885,1225,562.7,167.7,96.0,135.69,30.03,551.4,246.7,76,37,,2.07,-7.25
118,Mauda,Panjra,21.2114,79.5369,8.2,1770,1151,368.5,123.8,59.5,235,1.67,395.3,231.3,127,28,,4.34,-4.61
119,Mauda,Sirsoli,21.2853,79.5369,8.1,685,445,293.8,85.8,50.5,41.17,3.09,253.8,77.1,31,20,,0.87A-39,-4.29
120,Mauda,Bori Ghiwari,21.3281,79.5078,7.9,2894,1881,358.6,123.8,57.1,320.48,1.9,385.5,390.7,72,32,,5.97,-4.57
121,Mauda,Aroli,21.3228,79.4494,8.2,919,597,408.4,125.7,68.7,12.38,0.06,219.6,79.7,81,12,,0.22,-8.34
122,Mauda,Kumbhapur,21.1989,79.3283,8.1,751,488,403.4,139.7,64.1,2.24,0.06,322.1,20.6,52,19,,0.04,-6.98
123,Mauda,Bhendala,21.2308,79.4289,7.9,1674,1088,338.6,105.8,56.6,138.9,0.62,331.8,208.2,53,31,,2.71,-4.51
124,Mauda,Hingna,21.2622,79.3878,7.9,1691,1099,408.4,141.7,64.8,138.25,0.59,409.9,182.5,56,30,,2.41,-5.70
125,Mauda,Chacher,21.2831,79.3372,8.2,1970,1281,343.6,117.8,54.9,35.19,0.41,175.7,105.4,59,30,,0.67,-7.53
126,Mauda,Rewral,21.2647,79.4639,7.8,2952,1919,308.8,103.8,49.8,175,102.41,444.1,336.7,21,41,,3.53,-2.01
127,Kamthi,Waregaon,21.2475,79.1539,7.6,2506,1629,811.7,279.4,129.3,39,24.02,234.2,439.5,77,88,,0.48,-20.77
128,Kamthi,Suradevi,21.2469,79.1211,7.6,1569,1020,209.2,63.9,35.3,165,22,229.4,218.5,70,51,,4.11,-2.34
129,Kamthi,Ghorpada,21.1886,79.1992,7.6,1985,1290,418.3,143.7,66.7,37.9,20.6,122,277.6,62,8,,0.65,-10.67
130,Kamthi,Gada,21.1964,79.2344,7.5,585,380,144.4,47.9,23.5,32.6,18.49,224.5,30.8,19,15,,0.96,-0.65
131,Kamthi,Ungaon,21.1903,79.2922,7.7,889,578,308.8,101.8,50.3,37.6,19.34,297.7,69.4,24,29,,0.76,-4.35
132,Parseoni,Khandala,21.2192,79.2672,7.7,724,471,119.5,35.9,20.3,68,21,283,43.7,22,17,,2.25,1.17
133,Kalmeshwa r,Kalmeshwar,21.2297,78.9183,7.6,1898,1234,308.8,91.8,52.7,175,20,214.7,411.2,48,16,,3.60,-5.41
134,Kalmeshwa r,Uparvani,21.2150,78.8553,7.9,1174,763,239,79.8,38.7,85.33,20.16,361.1,100.2,29,59,,1.96,-1.25
135,Kalmeshwa r,Wathoda,21.2825,78.8389,7.4,1234,802,263.9,93.8,41.3,61,34.07,209.8,156.8,45,50,,1.32,-4.65
136,Kalmeshwa r,Mohpa,21.3064,78.8283,7.6,1109,721,318.7,107.8,51.3,35.16,20.45,239.1,125.9,32,62,,0.70,-5.69
137,Kalmeshwa r,Khairi,21.2925,78.7908,7.5,847,551,244,73.9,41.4,30.51,5.88,136.6,97.7,29,43,,0.70A-40,-4.86
138,Kalmeshwa r,Mandvi,21.3425,78.8058,7.8,962,625,139.4,47.9,22.2,60.5,36.6,39,92.5,84,46,,1.81,-3.58
139,Kalmeshwa r,Tishti,21.3731,78.7875,7.4,1026,667,259,87.8,41.6,35.3,20.9,175.7,107.9,35,78,,0.78,-4.93
140,Kalmeshwa r,Parsodi,21.3464,78.8856,7.7,756,491,149.4,43.9,25.6,52.9,20.46,268.4,28.3,16,32,,1.57,0.10
141,Kalmeshwa r,Tel-Kamthi,21.3761,78.8517,7.7,1059,688,219.1,67.9,36.8,60.8,30.07,219.6,128.5,35,53,,1.48,-2.82
142,Kalmeshwa r,Dadhera,21.3889,78.7728,7.9,929,604,159.4,49.9,26.6,68.16,21.9,195.2,74.5,55,19,,1.94,-1.48
143,Saoner,Khursipar,21.4731,78.7589,7.8,590,384,169.3,49.9,29.0,60.7,20.38,185.4,79.7,21,23,,1.69,-1.84
144,Saoner,Jatamkhor,21.4747,78.8103,7.4,970,631,179.3,55.9,30.0,34,20.7,161,46.3,42,75,,0.91,-2.62
145,Saoner,Umri,21.4203,78.8136,7.6,543,353,129.5,41.9,21.3,30.16,20.1,209.8,25.7,23,17,,0.95,-0.41
146,Saoner,Rampuri,21.4436,78.8642,7.5,1240,806,313.7,119.8,47.1,53.8,22.3,219.6,169.6,41,68,,1.05,-6.27
147,Saoner,Kelwad,21.4633,78.8792,8,1329,864,273.9,91.8,44.2,122,20.44,409.9,110.5,108,51,,2.62,-1.51
148,Parseoni,Satak,21.3367,79.2661,7.4,1243,808,363.5,133.7,55.8,36.8,30.2,156.2,161.9,52,72,,0.67,-8.72
149,Ramtek,Amgaon,21.3881,79.3489,7.5,229,149,64.7,20.0,10.9,12.3,3.4,53.7,28.3,12,10,,0.55,-1.02
150,Parsioni,Tamaswadi,21.3111,79.1350,7.5,551,358,154.4,53.9,24.4,28.77,1.43,248.9,22.1,2,4,,0.82,-0.62
151,Parsioni,Guramde,21.3136,79.1750,7.1,476,309,114.5,33.9,19.6,54.33,2.76,248.9,12.9,36,9,,1.84,0.77
152,Parsioni,Kharanbad,21.3739,79.1139,7.6,1360,884,263.9,91.8,41.8,116.49,49.81,327,195.3,7,59,,2.53,-2.67
153,Parsioni,Khubala,21.4656,78.9956,7.8,690,449,164.3,59.9,25.4,33.32,23.99,214.7,38.6,35,9,,0.91,-1.57
154,Saoner,Tembhurdoh,21.5047,78.9472,7.8,215,140,144.4,47.9,23.5,69.32,2.62,307.4,22.1,22,29,,2.05,0.71
155,Saoner,Waki,21.3358,79.0250,7.8,693,450,179.3,63.9,28.0,64.06,0.93,278.2,46.3,61,41,,1.68,-0.94
156,Saoner,Gujarwadi,21.3756,78.9436,7.8,934,607,263.9,93.8,41.3,81.74,0.59,458.7,64.3,17,39,,1.77A-41,-0.57
157,Saoner,Khurajgaon,21.4147,78.9081,7.9,605,393,164.3,59.9,25.4,72.38,10.25,219.6,59.1,30,33,,1.97,-1.49
158,Saoner,Nanda Nandapur,21.4414,78.9583,7.9,613,398,164.3,59.9,25.4,84.64,1.18,361.1,22.1,23,6,,2.31,0.83
159,Saoner,Kawatha,21.4753,78.9047,7.8,1114,724,298.8,111.8,45.4,76.29,6.16,390.4,84.8,4,39,,1.54,-2.93
160,Parseoni,SuwarDhara,21.4856,79.1256,7.7,437,284,144.4,53.9,22.0,30.76,2.86,131.8,22.1,61,14,,0.89,-2.34
161,Parseoni,Bitoli,21.4347,79.1650,7.7,2181,1418,438.2,139.7,72.5,298.3,0.81,444.1,308.4,149,12,,5.10,-5.67
162,Parseoni,Mahul,21.4150,79.1883,7.4,1089,708,249,99.8,36.3,50.69,15.01,268.4,120.8,2,9,,1.10,-3.58
163,Parseoni,Khandala Ghatate,21.2189,79.2672,7.9,612,398,129.5,37.9,22.2,74.22,2.55,307.4,15.4,16,3,,2.37,1.32
164,Parseoni,Kherdi,21.2600,79.2900,8.2,1844,1199,378.5,119.8,62.9,103.8,26.51,336.7,311,2,1,,1.91,-5.65
165,Ramtek,Kachurwadi,21.3317,79.3853,7.8,401,261,119.5,35.9,20.3,22.27,1.4,156.2,22.1,7,20,,0.74,-0.90
166,Mohda,KhaperKhedi,21.3531,79.4292,7.7,770,501,129.5,39.9,21.8,10.5,0.65,53.7,82.2,4,38,,0.33,-2.91
167,Ramtek,Patgavri,21.3936,79.2278,8.1,1031,670,219.1,73.9,35.3,101,15.4,419.7,72,54,12,,2.42,0.28
168,Borda,Ramtek,21.4483,79.2742,8,1213,788,253.5,89.8,39.8,111.84,56.62,380.6,156.8,55,31,,2.47,-1.53
169,Warghat,Ramtek,21.5481,79.4075,7.6,970,631,164.3,59.9,25.4,82.74,4.64,205,77.1,25,5,,2.26,-1.72
170,Karwahi,Ramtek,21.3936,79.4492,7.8,984,640,234.1,81.8,37.0,55.3,3.74,248.9,79.7,15,22,,1.27,-3.05
171,Parsodi,Mauda,21.0958,79.2092,7.6,1766,1148,373,135.7,57.7,113.2,7.23,224.5,254.4,23,17,,2.05,-7.85
172,Bhiwapur,Kaodasi,20.7698,79.3038,8,504,,200,32.0,29.0,25,3,195,35,33,19,0.8,0.77,-0.79
173,Bhiwapur,Zamkoli,20.6314,79.1953,8,622,,265,60.0,28.0,21,2,226,64,10,37,0.6,0.56,-1.60
174,Bhiwapur,Kholdoda,20.5974,79.3098,8,3142,,295,56.0,38.0,610,20,427,638,374,8,0.8,15.41,1.07
175,Bhiwapur,Malewada,20.7262,79.3695,8,1560,,325,82.0,29.0,202,16,336,266,96,37,1.1,4.88A-42,-0.98
176,Bhiwapur,Seloti,20.7450,79.4421,8,600,,225,60.0,18.0,32,8,293,28,14,16,0.6,0.93,0.32
177,Bhiwapur,Adhyal,20.8030,79.5158,8,583,,210,40.0,27.0,37,3,220,32,62,4,0.8,1.11,-0.62
178,Bhiwapur,Somnala,20.8383,79.5119,8,738,,260,70.0,21.0,48,4,232,78,38,36,0.4,1.29,-1.42
179,Kuhi,Gothangaon,20.9252,79.5316,8,675,,245,60.0,23.0,41,4,311,39,14,17,1.1,1.14,0.21
180,Kuhi,Jiwanapur,20.9462,79.5167,8.2,728,,240,40.0,34.0,58,3,348,50,10,4,0.5,1.63,0.91
181,Kuhi,Tutanbori,20.7992,79.4353,8.1,322,,200,66.0,9.0,51,4,311,21,24,7,0.4,1.56,1.06
182,Bhiwapur,Gondbori,20.7949,79.4498,8.2,850,,320,80.0,29.0,48,4,183,177,19,11,0.3,1.17,-3.39
183,Kuhi,Adam,20.9977,79.4521,8.2,646,,290,60.0,34.0,14,4,244,67,24,2,0.3,0.36,-1.80
184,Kuhi,Channa,20.9933,79.5230,8,1410,,355,136.0,4.0,145,6,336,220,58,40,0.8,3.34,-1.62
185,Kuhi,Pauni,21.0189,79.4919,8,1680,,385,40.0,69.0,207,8,336,365,43,8,0.4,4.59,-2.17
186,Kuhi,Bhiwkund,21.0519,79.4594,8.2,630,,265,60.0,28.0,23,2,244,53,24,23,0.8,0.61,-1.30
187,Kuhi,Rajola,21.0733,79.5244,8.1,1450,,410,46.0,72.0,147,2,391,248,29,40,0.4,3.15,-1.82
188,Kuhi,Kuhi,21.0119,79.3509,8.1,950,,290,100.0,10.0,94,20,226,199,34,24,0.8,2.40,-2.12
